factor,quantile,mean_return,median_return,count
ret_1d,1.0,0.008437979235273898,0.00765596140919626,408.0
ret_1d,2.0,0.0004792078763483412,-0.005728486163612732,407.0
ret_1d,3.0,0.0026288219813690003,0.001368685947696401,408.0
ret_1d,4.0,0.0027466902649501547,0.0,407.0
ret_1d,5.0,0.00161415332334396,-0.004257754388040706,408.0
log_ret_1d,1.0,0.008437979235273898,0.00765596140919626,408.0
log_ret_1d,2.0,0.0004792078763483412,-0.005728486163612732,407.0
log_ret_1d,3.0,0.0026288219813690003,0.001368685947696401,408.0
log_ret_1d,4.0,0.0027466902649501547,0.0,407.0
log_ret_1d,5.0,0.00161415332334396,-0.004257754388040706,408.0
ret_3d,1.0,0.011333342942538583,0.01226830019807109,408.0
ret_3d,2.0,0.0014301600518033069,-0.0009866799024450975,407.0
ret_3d,3.0,0.0022364761927661206,-0.0036886799478534956,407.0
ret_3d,4.0,-0.00045029437437842026,0.0009170106098814064,407.0
ret_3d,5.0,0.0020593948679356548,-0.005991207348230552,407.0
log_ret_3d,1.0,0.011333342942538583,0.01226830019807109,408.0
log_ret_3d,2.0,0.0014301600518033069,-0.0009866799024450975,407.0
log_ret_3d,3.0,0.0022364761927661206,-0.0036886799478534956,407.0
log_ret_3d,4.0,-0.00045029437437842026,0.0009170106098814064,407.0
log_ret_3d,5.0,0.0020593948679356548,-0.005991207348230552,407.0
ret_5d,1.0,0.012342407986007695,0.010077145145603598,407.0
ret_5d,2.0,-0.00011001392708485332,-0.0036886799478534956,407.0
ret_5d,3.0,0.003440842727392074,0.0011202189535376634,406.0
ret_5d,4.0,0.002760524478897135,-0.00043268191343529824,407.0
ret_5d,5.0,-0.0014824431318172387,-0.007042282625412923,407.0
log_ret_5d,1.0,0.012342407986007695,0.010077145145603598,407.0
log_ret_5d,2.0,-0.00011001392708485332,-0.0036886799478534956,407.0
log_ret_5d,3.0,0.003440842727392074,0.0011202189535376634,406.0
log_ret_5d,4.0,0.002760524478897135,-0.00043268191343529824,407.0
log_ret_5d,5.0,-0.0014824431318172387,-0.007042282625412923,407.0
ret_10d,1.0,0.0024129718876043267,0.0031096159509162945,406.0
ret_10d,2.0,-0.0013472447282166105,-0.007611036744049555,406.0
ret_10d,3.0,0.008788547480105581,0.00422421424239765,405.0
ret_10d,4.0,-0.0023416970969708686,-0.0013462951085580373,406.0
ret_10d,5.0,0.009058139345942897,0.00037875331164613155,406.0
log_ret_10d,1.0,0.0024129718876043267,0.0031096159509162945,406.0
log_ret_10d,2.0,-0.0013472447282166105,-0.007611036744049555,406.0
log_ret_10d,3.0,0.008788547480105581,0.00422421424239765,405.0
log_ret_10d,4.0,-0.0023416970969708686,-0.0013462951085580373,406.0
log_ret_10d,5.0,0.009058139345942897,0.00037875331164613155,406.0
ret_20d,1.0,0.0018811679380958783,0.0003964205634591828,404.0
ret_20d,2.0,-0.0007131593730802197,0.0007046288639346704,404.0
ret_20d,3.0,-0.0020519202920926496,-0.006566969969936382,403.0
ret_20d,4.0,0.011341285749046661,0.0055390995170705466,404.0
ret_20d,5.0,0.007913839317600325,0.0032510690197805015,404.0
log_ret_20d,1.0,0.0018811679380958783,0.0003964205634591828,404.0
log_ret_20d,2.0,-0.0007131593730802197,0.0007046288639346704,404.0
log_ret_20d,3.0,-0.0020519202920926496,-0.006566969969936382,403.0
log_ret_20d,4.0,0.011341285749046661,0.0055390995170705466,404.0
log_ret_20d,5.0,0.007913839317600325,0.0032510690197805015,404.0
ret_60d,1.0,0.006853640316505295,0.0017419794084845225,396.0
ret_60d,2.0,-0.0009076435296470525,-0.007108342985155538,396.0
ret_60d,3.0,0.006793876072769065,0.009220834737158259,395.0
ret_60d,4.0,0.015459236462555226,0.01083435097666156,396.0
ret_60d,5.0,-0.013363007556526528,-0.020144372694840186,396.0
log_ret_60d,1.0,0.006853640316505295,0.0017419794084845225,396.0
log_ret_60d,2.0,-0.0009076435296470525,-0.007108342985155538,396.0
log_ret_60d,3.0,0.006793876072769065,0.009220834737158259,395.0
log_ret_60d,4.0,0.015459236462555226,0.01083435097666156,396.0
log_ret_60d,5.0,-0.013363007556526528,-0.020144372694840186,396.0
ret_120d,1.0,0.0018973536285509561,-0.006026808970290773,384.0
ret_120d,2.0,0.0048638304073957165,0.0031188790750272697,384.0
ret_120d,3.0,0.013160521327273751,0.010152371464017908,383.0
ret_120d,4.0,0.004512155767616555,0.002251033448726284,384.0
ret_120d,5.0,-0.004471113544604382,-0.011327354149452167,384.0
log_ret_120d,1.0,0.0018973536285509561,-0.006026808970290773,384.0
log_ret_120d,2.0,0.0048638304073957165,0.0031188790750272697,384.0
log_ret_120d,3.0,0.013160521327273751,0.010152371464017908,383.0
log_ret_120d,4.0,0.004512155767616555,0.002251033448726284,384.0
log_ret_120d,5.0,-0.004471113544604382,-0.011327354149452167,384.0
momentum_accel_5_20,1.0,0.011644965172765804,0.00992858709962154,404.0
momentum_accel_5_20,2.0,0.0029730580552855723,-0.0025351342962555484,404.0
momentum_accel_5_20,3.0,-0.0011301623599152522,-0.00286944242795282,403.0
momentum_accel_5_20,4.0,0.009020265090374872,0.0005303185905219087,404.0
momentum_accel_5_20,5.0,-0.0041346310399009555,-0.005783095299797677,404.0
momentum_accel_20_60,1.0,-0.0030954909772078053,-0.0007332929315994635,396.0
momentum_accel_20_60,2.0,-0.0003481941969863347,-0.0020165501061589902,396.0
momentum_accel_20_60,3.0,0.0006219358182795784,-0.005262692483768323,395.0
momentum_accel_20_60,4.0,0.006090766391686007,-0.003992434707536345,396.0
